study_hours,attendance,previous_marks,result
3.7,74.9,28.2,0
9.5,35.9,92.2,1
7.3,41.3,60.4,1
6.0,92.9,86.1,1
1.6,72.5,45.6,0
1.6,30.6,91.6,1
0.6,37.1,51.1,0
8.7,76.4,20.9,1
6.0,30.4,92.4,1
7.1,41.3,27.3,0
0.2,68.4,45.5,0
9.7,78.4,96.0,1
8.3,75.6,96.0,1
2.1,45.7,65.9,0
1.8,79.9,70.5,1
1.8,46.6,55.9,0
3.0,52.8,43.5,0
5.2,82.3,46.3,1
4.3,75.5,73.8,1
2.9,89.4,80.2,1
6.1,76.0,83.3,1
1.4,69.8,83.2,1
2.9,36.6,27.3,0
3.7,55.7,59.6,1
4.6,48.6,24.6,0
7.9,47.1,64.0,1
2.0,98.1,55.3,1
5.1,57.5,91.0,1
5.9,92.4,48.1,1
0.5,74.2,29.4,0
6.1,85.6,31.4,1
1.7,65.2,80.9,1
0.7,70.4,69.5,1
9.5,64.5,28.1,1
9.7,43.7,26.7,1
8.1,80.6,76.1,1
3.0,49.7,25.8,0
1.0,31.7,85.7,0
6.8,75.2,76.5,1
4.4,42.4,26.5,0
1.2,95.8,26.8,0
5.0,96.8,98.9,1
0.3,94.0,49.9,0
9.1,55.9,49.7,1
2.6,31.1,85.0,1
6.6,95.0,95.8,1
3.1,60.0,98.9,1
5.2,97.7,80.3,1
5.5,97.5,50.1,1
1.8,89.7,26.7,0
9.7,50.6,82.2,1
7.8,57.0,64.7,1
9.4,89.6,53.9,1
8.9,52.2,92.5,1
6.0,41.9,28.9,0
9.2,69.0,59.4,1
0.9,95.5,20.9,0
2.0,78.7,57.5,1
0.5,69.9,24.5,0
3.3,36.8,29.5,0
3.9,73.1,29.4,0
2.7,99.3,71.9,1
8.3,39.8,79.7,1
3.6,66.3,66.7,1
2.8,91.4,97.0,1
5.4,81.9,50.0,1
1.4,78.8,42.9,0
8.0,79.2,89.5,1
0.7,55.2,37.9,0
9.9,50.6,97.1,1
7.7,86.7,21.0,1
2.0,86.7,97.6,1
0.1,90.7,23.5,0
8.2,93.9,91.3,1
7.1,65.8,62.2,1
7.3,65.1,99.4,1
7.7,85.9,25.9,1
0.7,75.5,64.3,1
3.6,79.1,97.5,1
1.2,85.7,61.8,1
8.6,92.3,70.4,1
6.2,53.7,75.7,1
3.3,56.3,56.4,0
0.6,36.6,70.2,0
3.1,70.5,66.7,1
3.3,32.5,92.1,1
7.3,62.6,23.6,1
6.4,68.0,42.5,1
8.9,50.1,96.0,1
4.7,71.4,91.2,1
1.2,32.1,56.5,0
7.1,32.6,69.6,1
7.6,87.6,42.2,1
5.6,55.2,35.0,0
7.7,38.9,57.1,1
4.9,66.6,48.3,1
5.2,83.9,66.7,1
4.3,45.1,26.2,0
0.3,73.6,98.0,1
1.1,36.0,98.9,1
0.3,33.6,75.9,0
6.4,67.2,62.9,1
3.1,67.8,44.8,0
5.1,74.6,85.1,1
9.1,80.8,74.8,1
2.5,98.3,33.0,1
4.1,66.1,92.9,1
7.6,52.6,85.8,1
2.3,85.7,96.0,1
0.8,49.0,78.1,0
2.9,60.7,69.1,1
1.6,35.5,53.5,0
9.3,31.8,94.6,1
8.1,97.4,89.3,1
6.3,88.5,23.6,1
8.7,78.7,22.1,1
8.0,58.6,50.1,1
1.9,42.1,84.8,1
8.9,41.0,99.0,1
5.4,47.5,32.0,0
8.1,68.4,67.5,1
9.0,80.0,50.5,1
3.2,76.2,97.6,1
1.1,49.6,87.4,1
2.3,96.8,87.1,1
4.3,81.7,57.5,1
8.2,68.8,53.2,1
8.6,72.8,41.9,1
0.1,59.4,24.5,0
5.1,47.3,89.2,1
4.2,54.9,85.0,1
2.2,83.0,100.0,1
1.2,31.0,99.7,1
3.4,38.1,64.4,0
9.4,33.2,81.5,1
3.2,32.9,95.6,1
5.2,89.9,88.0,1
7.0,79.3,39.8,1
3.6,63.2,56.0,1
9.7,36.8,30.3,1
9.6,64.4,96.3,1
2.5,63.1,68.5,1
5.0,42.1,38.3,0
3.0,60.4,73.7,1
2.8,57.9,69.5,1
0.4,73.1,48.7,0
6.1,74.5,29.1,1
5.0,33.2,73.7,1
0.5,56.2,61.6,0
2.8,73.8,81.8,1
9.1,65.2,61.6,1
2.4,90.0,88.2,1
1.4,76.1,64.2,1
4.9,41.4,64.9,1
9.9,34.9,90.1,1
2.4,75.0,52.3,1
6.7,31.9,30.7,0
7.6,71.0,22.3,1
2.4,95.8,80.4,1
7.3,70.3,69.6,1
3.7,57.2,76.3,1
6.3,75.0,37.0,1
6.3,62.1,30.9,0
5.4,68.2,21.2,0
0.9,95.9,48.0,1
8.4,57.0,67.2,1
3.2,97.3,51.4,1
1.9,93.4,55.0,1
0.4,43.7,92.3,1
5.9,34.9,47.9,0
6.8,37.1,61.1,1
0.2,31.3,82.7,0
5.1,36.6,51.7,0
2.3,77.8,69.8,1
6.5,35.0,89.0,1
1.7,52.3,96.0,1
6.9,89.1,31.8,1
3.9,31.6,94.1,1
9.4,87.0,59.4,1
1.4,49.7,40.7,0
3.4,38.3,56.7,0
1.1,78.8,98.4,1
9.2,74.0,59.4,1
8.8,91.4,46.3,1
2.6,81.5,70.7,1
6.6,86.2,39.2,1
8.2,49.7,26.1,0
5.6,42.4,30.3,0
5.3,82.5,30.2,1
2.4,86.5,32.2,0
0.9,99.3,31.1,0
9.0,58.9,71.3,1
9.0,56.0,34.6,1
6.3,84.3,47.7,1
3.4,53.9,91.7,1
3.5,95.2,57.9,1
7.3,90.1,73.4,1
9.0,60.0,33.8,1
8.9,82.6,35.4,1
7.8,82.8,23.3,1
